project_id	donor_id	file_id	bundle_id	object_id	filename	SM	LB	PL	PM	PU	AS	PI	CN	DT
PRAD-FR	DO229068	FI801676	96c65076-6084-5cfc-8e8b-95d81c72d3b6	EGAR00001502958	e86e6a2e39ce68da3d018752f1ab47a2.ls718_D1WUUACXX_7_4.ua.bam	NONE								
PRAD-FR	DO229079	FI801670	88390518-df85-5345-a605-bb8a6dec2e7a	EGAR00001503487	1f38ae1e97e8870c33e0a8b30c84ebfa.ls1818_C3CJEACXX_3_4nf.ua.bam	NONE								
PRAD-FR	DO229070	FI803026	de290f35-ac2f-58ac-846f-2fef36c95a28	EGAR00001503069	a7e68eb293dec77cefb4d5c5ccafc122.ls204_D1135ACXX_3_6.ua.bam	NONE								
PRAD-FR	DO229075	FI803022	809381e3-540e-5376-888b-27160fa298ae	EGAR00001503329	aea72f70637d2bfe8c33066c44055ee5.ls371_C19N2ACXX_7_7nf.ua.bam	NONE								
PRAD-FR	DO229080	FI803035	f49df6f5-413a-55dd-b39b-4d7c4969a01d	EGAR00001503519	f5330af50acbfa789938c4068c0b4be6.ls444_C1PA7ACXX_1_10nf.ua.bam	NONE								
PRAD-FR	DO229076	FI802821	ba3a1f22-939b-5127-b516-3f2169096f13	EGAR00001503401	8cc359bee76b10d77a7949f0319e567a.ls82_D1117ACXX_7_14.ua.bam	NONE								
PRAD-FR	DO229074	FI802831	5c531f9d-2a88-57b1-a120-d84c6e1effdd	EGAR00001503287	62fa6c1b28aa01dc1934afa2bf379479.ls395_D1HMEACXX_6_6nf.ua.bam	NONE								
PRAD-FR	DO229075	FI802839	4ca99884-1b35-5133-a7bd-01607315407d	EGAR00001503326	bf26c7585c18f6f7092c946ff9fe302b.ls298_C19N2ACXX_8_15nf.ua.bam	NONE								
PRAD-FR	DO229075	FI802849	27359174-b741-5d7b-8c15-041590072ee0	EGAR00001503385	d79a61f0f41a6020954a0484b0369f9a.ls279_C19K3ACXX_2_15nf.ua.bam	NONE								
PRAD-FR	DO229075	FI802851	27c15851-3c73-53ae-aee9-3800f483b5fd	EGAR00001503387	dfb866688b327d03c2d04f7294223329.ls295_C19N2ACXX_7_15nf.ua.bam	NONE								
PRAD-FR	DO229070	FI802854	5e2670c0-46be-5742-95fc-5937bfb6b2f6	EGAR00001503023	9540a6872f8e044581283364151ae6bb.ls720_D1WUUACXX_7_6.ua.bam	NONE								
PRAD-FR	DO229075	FI802816	5e4b547c-0d31-5f22-aceb-ea28c41fbe37	EGAR00001503359	ed34394022381623c86d26d5d8cf62be.ls680_C2350ACXX_7_16nf.ua.bam	NONE								
PRAD-FR	DO229073	FI802813	0efe7e31-8ae1-5ba4-83a7-ff1ca66cf006	EGAR00001503277	40c4096e846a724692f2a7953f631086.ls2615_C4990ACXX_8_5nf.ua.bam	NONE								
PRAD-FR	DO229073	FI802818	ec6bbf59-67c7-5aad-8e9b-5aeb0e91a720	EGAR00001503258	5f7c63fb6c5fc25e167d5741b0ab249a.ls2693_C4A9HACXX_8_2nf.ua.bam	NONE								
PRAD-FR	DO229119	FI802744	2dfb23fa-fdc1-5d00-b540-0b5cd64a6611	EGAR00001503866	755448f657fb08485d16c25ae3c9fcd9.ls1563_C2KTHACXX_7_19nf.ua.bam	NONE								
PRAD-FR	DO229081	FI802745	a4e8657f-c272-5358-a037-11d638d233f5	EGAR00001503550	09fa77f3e9f57b9fe25e6ca5c72db819.ls458_C1PA7ACXX_8_12nf.ua.bam	NONE								
PRAD-FR	DO229064	FI802756	3e534cea-d8d0-5ab2-a415-5ac32239e270	EGAR00001502712	9cbfa5823eecd71323d1f07ebe47a85c.ls4_C0TRHACXX_3_2.ua.bam	NONE								
PRAD-FR	DO229075	FI802761	5eee580b-c04a-503f-b10b-b876181a1ea5	EGAR00001503362	b90381a443050d5407129d3b3e83f6b2.ls400_D1HMEACXX_8_8nf.ua.bam	NONE								
PRAD-FR	DO229073	FI802779	bc9e4c98-fc85-50e7-874a-8114bd38d22a	EGAR00001503206	e2122987a6412e5017c8378f17871257.ls212_D1135ACXX_5_3.ua.bam	NONE								
PRAD-FR	DO229073	FI802702	d384ca73-e980-5f17-a38f-5031d509eee6	EGAR00001503262	eb103513066f0fd19a923993d5587060.ls2564_C44JJACXX_8_5nf.ua.bam	NONE								
PRAD-FR	DO229082	FI802716	bddc239a-a325-57e3-85a0-7b75ac64c422	EGAR00001503577	d2230f5488e4c3c7958bf294c8292f30.ls1792_C39CNACXX_6_7nf.ua.bam	NONE								
PRAD-FR	DO229074	FI802717	643e0b63-8c7d-5d35-bad7-16759c39a5e8	EGAR00001503303	82cfffadefcf3b4e50c023ec20d077af.ls367_C19N2ACXX_5_5nf.ua.bam	NONE								
PRAD-FR	DO229072	FI802740	3c2bd397-d852-5aad-adb5-949df0da929c	EGAR00001503196	15d44324d855dafcc8b9278f1cfba2c3.ls57_D1117ACXX_1_1.ua.bam	NONE								
PRAD-FR	DO229066	FI802667	30b83084-4f52-5590-83f9-fa1ba261747d	EGAR00001502832	15ee3f1e59546c2bd50082434b63d1c5.ls675_C22YTACXX_7_4nf.ua.bam	NONE								
PRAD-FR	DO229079	FI802687	951db089-02f0-5021-904d-52df0955f93a	EGAR00001503481	8b0a672e3a62ecc05913e852bb1b5139.ls1727_C2NCBACXX_3_4nf.ua.bam	NONE								
PRAD-FR	DO229064	FI802694	38c9e20f-63aa-580e-ab0a-558e169c25f9	EGAR00001502718	7767010053cdd940d919881c01d8a1c8.ls178_D1132ACXX_7_15.ua.bam	NONE								
